Task,ROC-AUC,PRC-AUC,F1-Score,Precision,Recall
NR-AR,0.7152165392906134,0.40862615631786353,0.0,0.0,0.0
NR-AR-LBD,0.768806833838523,0.2530177661062892,0.0,0.0,0.0
NR-AhR,0.703973447429686,0.20250602367978227,0.0,0.0,0.0
NR-Aromatase,0.6167321924144311,0.10676378651264257,0.0,0.0,0.0
NR-ER,0.5768583450210379,0.14873081955066586,0.0,0.0,0.0
NR-ER-LBD,0.6404824396950382,0.1457954729774093,0.0,0.0,0.0
NR-PPAR-gamma,0.6275833233783299,0.05666736537368672,0.0,0.0,0.0
SR-ARE,0.5482222505416083,0.20719239575228493,0.0,0.0,0.0
SR-ATAD5,0.6154747474747475,0.061276535599552415,0.0,0.0,0.0
SR-HSE,0.6502370490286772,0.16637372651577093,0.0,0.0,0.0
SR-MMP,0.677553372149442,0.21798862514690004,0.0,0.0,0.0
SR-p53,0.5424480387560556,0.11617575977956321,0.0,0.0,0.0
